==============================================================
  MIMICXI - NEW ITEM DESIGN SHEET (v3.0)
  Levels 10-75 | 131 Items Total
  Batch 1 (29700-29719): 5 Weapons / 15 Armour  [REVISED]
  Batch 2 (29720-29779): 10 Weapons / 50 Armour
  Batch 3 (29780-29819): 8 Weapons / 32 Armour
  Tier 6  (29840-29850): 3 Weapons / 8 Armour/Accessories  [Endgame BiS, NM-only]

  POWER TIERS
  1 = Slightly weak for level (starter / consolation drops)
  2 = Average for level (solid regular drops)
  3 = Slightly strong (best-in-tier, worth farming)
  4 = Strong/very strong (reserved for custom NMs in LQS)

  BALANCE NOTE: Dual Wield items capped at +1.
  Haste capped at +2 on non-body slots, +3 on body (Tier 4 only).
  Triple/Double Attack capped at +1% and only on Tier 3-4 NM drops.
  Ranged Accuracy capped at +7 on weapons, +5 on armour.

  SLOT BITMASKS:
    MAIN=1 | SUB=2 | MAIN+SUB=3 | RANGED=4
    HEAD=16 | BODY=32 | HANDS=64 | LEGS=128 | FEET=256
    NECK=512 | WAIST=1024 | EAR(both)=6144 | RING(both)=24576
    BACK=32768

  JOB BITMASKS (reference)
  WAR=1    MNK=2     WHM=4      BLM=8      RDM=16     THF=32
  PLD=64   DRK=128   BST=256    BRD=512    RNG=1024   SAM=2048
  NIN=4096 DRG=8192  SMN=16384  BLU=32768  COR=65536  PUP=131072
  DNC=262144  SCH=524288  GEO=1048576  RUN=2097152
  ALL JOBS = 4194303
==============================================================

==============================================================
  BATCH 1 - OVERVIEW (IDs 29700-29719)  [v2.0 REVISED]
==============================================================

SuggestedItemID,InternalName,DisplayName,ItemType,EquipSlot,SlotBitmask,LevelReq,PowerTier,Source,ModelID,Jobs(Text),JobsBitmask
29700,tarnished_gladius,Tarnished Gladius,Weapon,MAIN+SUB,3,15,2,Regular Drop,243,"WAR/MNK/THF/PLD/DRK/RDM/NIN/BLU/COR",102643
29701,gale_axe,Gale Axe,Weapon,MAIN+SUB,3,30,2,Regular Drop,428,"WAR/DRK/BST/DRG",8577
29702,thornwood_staff,Thornwood Staff,Weapon,MAIN,1,45,3,Custom NM Drop,516,"WHM/BLM/RDM/SMN/SCH/GEO",1589276
29703,rimehunters_bow,Rimehunter's Bow,Weapon,RANGED,4,55,3,Custom NM Drop,623,"RNG/COR",66560
29704,ashveil_katana,Ashveil Katana,Weapon,MAIN+SUB,3,65,4,Custom NM Drop,741,"NIN/SAM",6144
29705,brushwood_helm,Brushwood Helm,Armour,HEAD,16,10,1,Regular Drop,416,"WAR/MNK/PLD/DRK/DRG/SAM/RUN",2107587
29706,ashen_circlet,Ashen Circlet,Armour,HEAD,16,35,2,Regular Drop,435,"WHM/BLM/RDM/SMN/SCH/GEO",1589276
29707,ironshroud_mask,Ironshroud Mask,Armour,HEAD,16,60,3,Custom NM Drop,643,"WAR/DRK/SAM/DRG",10369
29708,pilgrims_coat,Pilgrim's Coat,Armour,BODY,32,20,1,Regular Drop,408,"WHM/RDM/SCH/GEO/PLD",1572948
29709,ember_plate,Ember Plate,Armour,BODY,32,40,3,Custom NM Drop,519,"WAR/PLD/DRG/RUN",2105409
29710,shadowweave_tunic,Shadowweave Tunic,Armour,BODY,32,62,4,Custom NM Drop,672,"THF/NIN/DNC/COR",331808
29711,stormcaller_mitts,Stormcaller Mitts,Armour,HANDS,64,25,2,Regular Drop,421,"RNG/COR/BRD/BLU",99840
29712,hammerfist_gauntlets,Hammerfist Gauntlets,Armour,HANDS,64,50,3,Custom NM Drop,583,"MNK/PUP",131074
29713,dustwalker_subligar,Dustwalker Subligar,Armour,LEGS,128,15,1,Regular Drop,417,"THF/RNG/NIN/DNC/BST/COR",333088
29714,crestfallen_slacks,Crestfallen Slacks,Armour,LEGS,128,45,2,Regular Drop,554,"BLM/WHM/SMN/SCH/RDM/GEO",1589276
29715,mudstrider_boots,Mudstrider Boots,Armour,FEET,256,20,2,Regular Drop,432,"THF/NIN/DNC/BST/RNG/COR/BRD",333600
29716,gloamstone_sabots,Gloamstone Sabots,Armour,FEET,256,55,3,Custom NM Drop,612,"BLM/RDM/SCH/GEO",1572888
29717,cinnabar_necklace,Cinnabar Necklace,Armour,NECK,512,30,2,Regular Drop,0,All Jobs,4194303
29718,burnished_sash,Burnished Sash,Armour,WAIST,1024,40,2,Regular Drop,0,"WHM/BLM/RDM/SMN/SCH/GEO/BLU/PLD",1622108
29719,wanderers_mantle,Wanderer's Mantle,Armour,BACK,32768,50,3,Custom NM Drop,503,All Jobs,4194303

==============================================================
  BATCH 1 - WEAPONS (IDs 29700-29704)  [v2.0 REVISED]
==============================================================

ID,InternalName,DisplayName,LevelReq,PowerTier,Source,ModelID,Jobs,DMG,Delay,DmgType,WeaponSkill,PrimaryStats,SecondaryStats,FlavorText
29700,tarnished_gladius,Tarnished Gladius,15,2,Regular Drop,243,"WAR/MNK/THF/PLD/DRK/RDM/NIN/BLU/COR",20,240,Slashing,Sword,DEX+2 / Accuracy+5,-,"A weathered blade with a surprisingly keen edge, unearthed from a crumbling waystation deep in bandit territory."
29701,gale_axe,Gale Axe,30,2,Regular Drop,428,"WAR/DRK/BST/DRG",37,288,Slashing,Axe,STR+3 / Attack+8,-,"A single-headed axe etched with wind runes that emit a faint whistle when swung with force."
29702,thornwood_staff,Thornwood Staff,45,3,Custom NM Drop,516,"WHM/BLM/RDM/SMN/SCH/GEO",52,366,Blunt,Staff,INT+5 / MND+4 / MP+30,Magic Accuracy+6,"A gnarled staff carved from the heartwood of a petrified treant. The wood still channels residual elemental energy."
29703,rimehunters_bow,Rimehunter's Bow,55,3,Custom NM Drop,623,"RNG/COR",51,504,Ranged,Archery,AGI+5 / Ranged Accuracy+7,Ranged Attack+8,"A recurve bow fashioned from coldwood harvested in the highland barrens. Its limbs hold tension like a living creature."
29704,ashveil_katana,Ashveil Katana,65,4,Custom NM Drop,741,"NIN/SAM",58,245,Slashing,Katana,STR+4 / DEX+5 / Store TP+4,Critical Hit Rate+3%,"A blade of pale grey steel whose edge shimmers like drifting smoke. Sought by shadow hunters. Peerless in swiftness."

REVISION NOTES (Batch 1 weapons)
  29703: Ranged Accuracy reduced from +10 to +7 (was approaching BiS for RNG at level 55)

==============================================================
  BATCH 1 - ARMOUR (IDs 29705-29719)  [v2.0 REVISED]
==============================================================

--- HEAD ---

ID,InternalName,DisplayName,LevelReq,PowerTier,Source,ModelID,Jobs,DEF,PrimaryStats,SecondaryStats,FlavorText
29705,brushwood_helm,Brushwood Helm,10,1,Regular Drop,416,"WAR/MNK/PLD/DRK/DRG/SAM/RUN",13,HP+12 / VIT+2,-,"A rough-hewn helmet fashioned from hardened bark and cured leather. Offers modest protection for those just starting out."
29706,ashen_circlet,Ashen Circlet,35,2,Regular Drop,435,"WHM/BLM/RDM/SMN/SCH/GEO",20,INT+4 / MND+3,Fast Cast+3,"A lightweight circlet set with a pale grey gemstone that quietly amplifies magical focus. Common among travelling mages."
